0.0125 	1e-05 	-3.25421e-18 	1 	1
0.0375 	1e-05 	-9.84446e-18 	1 	1
0.0625 	1e-05 	-1.29666e-17 	1 	1
0.0875 	1e-05 	-1.15778e-17 	1 	1
0.1125 	1e-05 	-1.0189e-17 	1 	1
0.1375 	1e-05 	-1.01917e-17 	1 	1
0.1625 	1e-05 	-1.01945e-17 	1 	1
0.1875 	1e-05 	-1.15819e-17 	1 	1
0.2125 	1e-05 	-1.2968e-17 	1 	1
0.2375 	1e-05 	-1.29666e-17 	1 	1
0.2625 	1e-05 	-1.43527e-17 	1 	1
0.2875 	1e-05 	-1.43514e-17 	1.3034 	1.16109
0.3125 	1e-05 	-1.29639e-17 	7.52255 	2.40673
0.3375 	1e-05 	-1.43514e-17 	10.6098 	2.71775
0.3625 	1e-05 	-1.57374e-17 	10.7437 	2.72748
0.3875 	1e-05 	-1.57361e-17 	10.9516 	2.74239
0.4125 	1e-05 	-1.57361e-17 	11.1369 	2.7559
0.4375 	1e-05 	-1.71239e-17 	11.3134 	2.76915
0.4625 	1e-05 	-1.85103e-17 	11.4746 	2.78139
0.4875 	1e-05 	-1.85103e-17 	11.6178 	2.79193
0.5125 	1e-05 	-1.85103e-17 	11.7423 	2.80051
0.5375 	1e-05 	-1.85089e-17 	11.8408 	2.80695
0.5625 	1e-05 	-1.85089e-17 	11.9136 	2.81166
0.5875 	1e-05 	-1.93164e-17 	11.9647 	2.81501
